_id,name,option,score,content
658ff48411c27a0fb900d276,tngh***,선택 옵션 Lanolin 1 Count,5,출산용품 준비하면서 구매해봤어요! ㅎㅎ 효과있었으면 좋겟네요 ㅎㅎ 
658ff48411c27a0fb900d277,masc******,선택 옵션 Lanolin 2 Count,5,좋은제품을 저렴하게 잘구매했네요~^^
658ff48411c27a0fb900d278,hjm1***,선택 옵션 Lanolin 1 Count,5,아기랑 같이 사용하려고 구매함.\n아기 침독에 바르니 효과 있음.
658ff48411c27a0fb900d279,shin*****,선택 옵션 Lanolin 1 Count,5,늘 쓰던 제품이라 아주 잘 사용하고 있어요!
658ff48411c27a0fb900d27a,ayou*****,선택 옵션 Lanolin 1 Count,5,항상 구매하는 제품 저렴하게 사서 좋아요.
658ff48411c27a0fb900d27b,home***,선택 옵션 Lanolin 2 Count,5,저렴하게 잘 샀어요!! 필수템이라길래 출산 전 미리 구입했습니다~~
658ff48411c27a0fb900d27c,abc9****,선택 옵션 Lanolin 1 Count,5,배송은 아주아주 늦었지만 아기 피부에 너무나 좋아요\n침독이 심한부분에 얇게 발라주면 바로 가라 앉을 정도로 너무 좋아요!!!
658ff48411c27a0fb900d27d,bsb7***,선택 옵션 Lanolin 2 Count,5,모유 수유하고 사용하면 촉촉하고 보습되고 좋아요
658ff48411c27a0fb900d27e,cjst*****,선택 옵션 Lanolin 1 Count,5,블프할인할 때 저렴하게\n잘\n삿어요
658ff48411c27a0fb900d27f,너는나무야,선택 옵션 Lanolin 1 Count,5,침독+이유식 콤보로 오돌토돌 최고였는데 라놀린 크림으로 잡았어요 다쓰면 또구매각!
658ff48411c27a0fb900d280,용용이222,선택 옵션 Lanolin 1 Count,4,출산 전이라 사용해보지 않았지만 워낙 유명해서 믿고 구매했어요 저렴하게 구매했습니다
658ff48411c27a0fb900d281,cwyh****,선택 옵션 Lanolin 1 Count,5,아마존에서 구매하니 훨씬 저렴하고 성분도 착하고 아기 있는 집에 필수에요
658ff48411c27a0fb900d282,ghkg***,선택 옵션 Lanolin 2 Count,5,출산전이라 사용은안해봤지만 잘써볼게용 배송이 오래걸렸어용
658ff48411c27a0fb900d283,oiof***,선택 옵션 Lanolin 1 Count,5,출상 전인데 워낙 유명해서 사봤어요 효과있길!
658ff48411c27a0fb900d284,nami****,선택 옵션 Lanolin 1 Count,5,모유수유시  필요할것같아 주문했습니다 아기한테도 쓸수있어 좋아요 
658ff48411c27a0fb900d285,다나카라뷰,선택 옵션 Lanolin 1 Count,5,침독크림으로 유명해서 샀어요\n직구로 엄청 싸게사서 더 만족스러워요
658ff48411c27a0fb900d286,zzzz***************,선택 옵션 Lanolin 2 Count,4,조리원에서 쓸려고 주문했어요\n워낙 유명한 제품이라 믿음이가요
